Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,118,4243.25,78.69,4321.94,350.01
Drive Thru,143,2526.5,22.54,2549.04,208.43
Take Out,46,850.72,68.64,919.36,70.16
Total,307,7620.47,169.87,7790.34,628.60
