Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1209.0,5142.14,147.33,0.0,5289.47,424.15
Drive Thru,720.0,2457.97,22.54,0.0,2480.51,202.77
No Revenue Center,4.0,20.36,0.0,0.0,20.36,1.68
Total,1933.0,7620.47,169.87,0.0,7790.34,628.60
