Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1846.95,143,12.92,145,13.79,143,12.92,14.99
Table Service,2392.51,160,14.95,81,31.97,61,39.22,43.67
Total,4239.46,303,13.99,226,20.31,204,20.78,23.57
