Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,556.0,2846.34,9.94,0.0,2856.28,234.66
Drive Thru,387.0,1386.75,16.32,0.0,1403.07,114.39
No Revenue Center,10.0,6.37,21.74,0.0,28.11,0.53
Total,953.0,4239.46,48.00,0.0,4287.46,349.58
