Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,64,2420.96,28.64,2449.6,199.58
Drive Thru,127,1623.02,19.36,1642.38,133.89
Take Out,13,195.48,0.0,195.48,16.11
Total,204,4239.46,48.00,4287.46,349.58
