Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1426.1,111,12.85,113,13.66,111,12.85,10.38
Table Service,914.85,70,13.07,34,29.13,32,28.59,40.90
Total,2340.95,181,12.93,147,17.24,143,16.37,17.21
