Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,35,927.18,38.96,966.14,76.44
Drive Thru,95,1182.08,16.11,1198.19,97.54
Take Out,13,231.69,1.38,233.07,19.12
Total,143,2340.95,56.45,2397.40,193.10
