Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,47,1262.14,41.09,1303.23,104.07
Drive Thru,105,1349.18,25.79,1374.97,111.28
Take Out,18,304.2,3.8,308.0,25.09
Total,170,2915.52,70.68,2986.20,240.44
