Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1721.32,128,13.45,128,14.56,128,13.45,12.31
Table Service,1194.2,85,14.05,45,28.73,42,28.43,41.42
Total,2915.52,213,13.69,173,18.24,170,17.15,19.50
