Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,429.0,1738.09,31.53,0.0,1769.62,143.29
Drive Thru,322.0,1126.91,14.99,0.0,1141.9,92.97
No Revenue Center,20.0,50.52,24.16,0.0,74.68,4.18
Total,771.0,2915.52,70.68,0.0,2986.20,240.44
