Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,47,931.27,11.18,942.45,76.78
Drive Thru,171,1949.84,0.0,1949.84,160.51
Take Out,34,446.16,2.7,448.86,36.74
Total,252,3327.27,13.88,3341.15,274.03
