Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2418.06,208,11.63,211,12.40,207,11.68,7.37
Table Service,909.21,82,11.09,48,20.50,45,20.20,35.88
Total,3327.27,290,11.47,259,13.90,252,13.20,12.46
