Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2950.97,183,16.13,180,17.75,183,16.13,16.07
Table Service,4946.51,525,9.42,142,37.71,131,37.76,44.12
Total,7897.48,708,11.15,322,26.55,314,25.15,27.77
