Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,630.0,2634.82,77.99,0.0,2712.81,217.25
NA Beverage,183.0,536.07,2.81,0.0,538.88,44.21
Liquor,6.0,47.94,0.0,0.0,47.94,3.94
Total,819.0,3218.83,80.80,0.0,3299.63,265.40
