Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,4.0,17.76,5.0,0.0,22.76,1.47
Dining Room,640.0,2898.8,64.91,0.0,2963.71,238.98
Drive Thru,386.0,1344.52,12.72,0.0,1357.24,110.89
No Revenue Center,4.0,23.96,0.0,0.0,23.96,1.97
Total,1034.0,4285.04,82.63,0.0,4367.67,353.31
