Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2015.66,147,13.71,146,14.94,147,13.71,14.73
Table Service,2269.38,153,14.83,65,37.79,59,38.46,38.87
Total,4285.04,300,14.28,211,21.98,206,20.80,21.64
