Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,121,3149.45,45.24,3194.69,259.63
Drive Thru,181,2227.74,4.19,2231.93,183.48
Take Out,21,282.43,0.0,282.43,23.26
Total,323,5659.62,49.43,5709.05,466.37
