Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,54,1038.4,11.07,1049.47,85.58
Drive Thru,182,2002.54,0.0,2002.54,164.86
Take Out,35,354.6,2.06,356.66,29.22
Total,271,3395.54,13.13,3408.67,279.66
