Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2403.77,223,10.78,225,11.56,222,10.83,6.51
Table Service,991.77,91,10.90,50,21.47,49,20.24,36.88
Total,3395.54,314,10.81,275,13.36,271,12.53,12.00
