Discount,Count,Orders,Amount
Open % Item,11,5,14.03
Military Discount,9,5,7.96
Employee Discount - Item,2,1,9.82
Manager Comp - Item,1,1,11.99
Police Discount,3,2,7.97
Total,26,14,51.77
