Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,99,2539.06,82.79,2621.85,209.08
Drive Thru,185,2377.42,12.83,2390.25,195.88
Take Out,32,641.43,0.0,641.43,52.93
Total,316,5557.91,95.62,5653.53,457.89
