Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,2203.0,7496.86,77.81,0.0,7574.67,617.8
Total,2203.0,7496.86,77.81,0.0,7574.67,617.8
