Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1939.82,142,13.66,141,14.89,142,13.66,23.54
Table Service,2363.99,168,14.07,73,36.64,67,35.28,38.67
Total,4303.81,310,13.88,214,22.31,209,20.59,28.39
