Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,76,2362.53,14.97,2377.5,194.75
Drive Thru,123,1780.38,9.7,1790.08,146.9
Take Out,10,160.9,0.43,161.33,13.28
Total,209,4303.81,25.10,4328.91,354.93
