Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,682.0,2443.32,16.04,0.0,2459.36,201.26
Drive Thru,373.0,1171.61,2.39,0.0,1174.0,96.38
Total,1055.0,3614.93,18.43,0.0,3633.36,297.64
