Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,54,1219.85,0.0,1219.85,100.5
Drive Thru,160,1903.7,7.96,1911.66,156.66
Take Out,26,279.51,4.19,283.7,23.04
Total,240,3403.06,12.15,3415.21,280.20
