Hour of day,Net sales,Total orders,Total guests
5,5.97,1,1
6,128.84,17,17
7,389.68,36,49
8,335.4,31,34
9,365.21,30,36
10,342.3,24,27
11,438.3,25,36
12,312.41,22,23
13,222.39,9,19
14,231.94,12,16
15,64.46,4,6
16,181.58,9,11
17,111.21,7,8
18,194.53,8,9
19,78.84,5,5
