Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2619.9,170,15.41,173,16.39,170,15.41,6.74
Table Service,1306.33,96,13.61,48,29.46,44,29.69,35.51
Total,3926.23,266,14.76,221,19.23,214,18.35,12.66
