Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,47,1357.51,3.04,1360.55,111.96
Drive Thru,140,2213.87,0.0,2213.87,182.37
Take Out,27,354.85,5.97,360.82,29.25
Total,214,3926.23,9.01,3935.24,323.58
