Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,648.0,2098.25,9.01,0.0,2107.26,172.97
Drive Thru,613.0,1827.98,0.0,0.0,1827.98,150.61
Total,1261.0,3926.23,9.01,0.0,3935.24,323.58
