Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,655.0,2256.82,0.0,0.0,2256.82,185.92
Drive Thru,382.0,1153.24,13.41,0.0,1166.65,94.93
Total,1037.0,3410.06,13.41,0.0,3423.47,280.85
