Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2531.38,173,14.63,172,15.93,173,14.63,11.99
Table Service,4234.27,334,12.68,130,35.26,115,36.82,38.55
Total,6765.65,507,13.34,302,24.25,288,23.49,22.60
