Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,73,1364.47,0,19.47,103.87,0.0,0.0,0.00,1383.94,1.5
Credit/debit,,229,5958.80,462.23,212.30,453.75,0.0,0.0,462.23,6633.33,12.3
Credit/debit,AMEX,5,169.77,14.76,0.0,12.92,0.0,0.0,14.76,184.53,9.4
Credit/debit,DISCOVER,5,124.4,11.24,0.0,9.47,0.0,0.0,11.24,135.64,9.8
Credit/debit,MASTERCARD,80,2158.22,141.84,73.18,164.31,0.0,0.0,141.84,2373.24,10.8
Credit/debit,VISA,139,3506.41,294.39,139.12,267.05,0.0,0.0,294.39,3939.92,13.4
Gift Card,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Total,,302,7323.27,462.23,231.77,557.62,0.0,0.0,462.23,8017.27,10.3
