Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,56,1148.43,11.91,1160.34,94.68
Drive Thru,191,2115.19,2.48,2117.67,174.13
Take Out,31,318.41,0.0,318.41,26.2
Total,278,3582.03,14.39,3596.42,295.01
