Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2482.65,230,10.79,232,11.58,229,10.84,6.03
Table Service,1099.38,92,11.95,51,23.33,49,22.44,37.66
Total,3582.03,322,11.12,283,13.70,278,12.89,11.61
