Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,820.0,2763.79,1.49,0.0,2765.28,227.59
NA Beverage,192.0,467.54,0.0,0.0,467.54,38.44
Total,1012.0,3231.33,1.49,0.0,3232.82,266.03
