Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2339.5,223,10.49,227,11.15,223,10.49,4.98
Table Service,891.83,83,10.74,51,18.93,48,18.58,34.48
Total,3231.33,306,10.56,278,12.58,271,11.92,10.20
