Payment Id,Check Id,Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
800000030498862014,800000030498853081,1,,CASH,Ivana,Ivana,0.00,4.31,Drive Box,10/8/25 6:32 AM,10/8/25 6:31 AM
800000030498943125,800000030498937698,2,,CREDIT,Ivana,Ivana,0.00,10.65,,10/8/25 6:42 AM,10/8/25 6:42 AM
800000030499003013,800000030498946873,4,,CREDIT,Ivana,Ivana,0.00,5.88,,10/8/25 6:49 AM,10/8/25 6:43 AM
800000030499012261,800000030498957864,6,,CASH,Ivana,Ivana,0.00,4.31,Drive Box,10/8/25 6:51 AM,10/8/25 6:44 AM
800000030499019755,800000030498977716,7,,CREDIT,Ivana,Ivana,0.00,11.99,,10/8/25 6:51 AM,10/8/25 6:46 AM
800000030499046657,800000030499001456,5,,CASH,Ivana,Ivana,0.00,11.42,Drive Box,10/8/25 6:54 AM,10/8/25 6:49 AM
800000030499060920,800000030499029120,10,,CREDIT,Ivana,Ivana,5.00,9.05,,10/8/25 6:56 AM,10/8/25 6:52 AM
800000030499076330,800000030498990153,9,,CREDIT,Norma,Norma,0.00,25.86,,10/8/25 6:58 AM,10/8/25 6:48 AM
800000030499169335,800000030499162960,11,,CREDIT,Ivana,Ivana,0.00,12.38,,10/8/25 7:06 AM,10/8/25 7:05 AM
800000030499185400,800000030499182523,13,,CREDIT,Norma,Norma,2.00,22.43,,10/8/25 7:07 AM,10/8/25 7:07 AM
800000030499228381,800000030498938238,3,8,CREDIT,Norma,Norma,2.00,10.48,,10/8/25 7:11 AM,10/8/25 6:42 AM
800000030499229578,800000030499222678,14,,CREDIT,Ivana,Ivana,0.00,25.15,,10/8/25 7:11 AM,10/8/25 7:10 AM
800000030499335991,800000030499330715,15,,CREDIT,Ivana,Ivana,0.00,5.40,,10/8/25 7:19 AM,10/8/25 7:18 AM
800000030499391303,800000030499349851,16,,CREDIT,Ivana,Ivana,1.58,7.75,,10/8/25 7:22 AM,10/8/25 7:20 AM
800000030499405679,800000030499369945,17,,CREDIT,Ivana,Ivana,0.00,22.61,,10/8/25 7:24 AM,10/8/25 7:21 AM
800000030499450749,800000030499380307,18,,CREDIT,Ivana,Ivana,1.00,17.70,,10/8/25 7:27 AM,10/8/25 7:22 AM
800000030499507192,800000030499388872,19,,CREDIT,Ivana,Ivana,2.00,8.63,,10/8/25 7:31 AM,10/8/25 7:23 AM
800000030499529020,800000030499416619,21,,CREDIT,Ivana,Ivana,0.00,6.97,,10/8/25 7:32 AM,10/8/25 7:25 AM
800000030499573378,800000030499543434,22,,CREDIT,Ivana,Ivana,1.00,16.83,,10/8/25 7:35 AM,10/8/25 7:33 AM
800000030499587747,800000030499556989,23,,CASH,Ivana,Ivana,0.00,2.15,Drive Box,10/8/25 7:36 AM,10/8/25 7:34 AM
800000030499657961,800000030499635700,26,,CREDIT,Ivana,Ivana,0.00,26.59,,10/8/25 7:41 AM,10/8/25 7:39 AM
800000030499836789,800000030499702272,28,,CREDIT,Ivana,Ivana,1.00,29.26,,10/8/25 7:47 AM,10/8/25 7:43 AM
800000030499797930,800000030499796843,34,,CASH,Ivana,Ivana,0.00,4.80,Drive Box,10/8/25 7:50 AM,10/8/25 7:49 AM
800000030499816483,800000030499584616,25,,CASH,Norma,Norma,0.00,6.00,,10/8/25 7:51 AM,10/8/25 7:36 AM
800000030499821580,800000030499584616,25,,CREDIT,Norma,Norma,0.00,10.42,,10/8/25 7:51 AM,10/8/25 7:36 AM
800000030499834495,800000030499835317,36,,CREDIT,Norma,Norma,1.00,5.39,,10/8/25 7:52 AM,10/8/25 7:52 AM
800000030499837671,800000030499709902,29,,CREDIT,Ivana,Ivana,2.00,13.06,,10/8/25 7:52 AM,10/8/25 7:44 AM
800000030499856695,800000030499715946,30,,CREDIT,Ivana,Ivana,0.00,6.24,,10/8/25 7:53 AM,10/8/25 7:44 AM
800000030499881056,800000030499732164,31,,CREDIT,Ivana,Ivana,0.00,7.82,,10/8/25 7:55 AM,10/8/25 7:45 AM
800000030499903597,800000030499770986,32,,CREDIT,Ivana,Ivana,0.00,13.18,,10/8/25 7:56 AM,10/8/25 7:48 AM
800000030499944930,800000030499851957,37,,CREDIT,Ivana,Ivana,0.00,6.79,,10/8/25 7:59 AM,10/8/25 7:53 AM
800000030499984041,800000030499870594,38,,CREDIT,Ivana,Ivana,0.54,6.46,,10/8/25 8:01 AM,10/8/25 7:54 AM
800000030499994362,800000030499775339,33,,CREDIT,Norma,Norma,0.00,48.54,,10/8/25 8:02 AM,10/8/25 7:48 AM
800000030500005796,800000030499884068,39,,CASH,Ivana,Ivana,0.00,7.54,Drive Box,10/8/25 8:03 AM,10/8/25 7:55 AM
