Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2806.02,221,12.70,223,13.62,221,12.70,8.30
Table Service,2937.18,219,13.41,125,25.43,102,28.80,41.85
Total,5743.20,440,13.05,348,17.86,323,17.78,18.89
