Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,103,2941.17,8.49,2949.66,242.45
Drive Thru,194,2345.45,11.52,2356.97,193.2
Take Out,26,456.58,2.7,459.28,37.62
Total,323,5743.20,22.71,5765.91,473.27
