Hour of day,Net sales,Total orders,Total guests
6,82.81,8,8
13,359.96,18,25
15,264.74,17,18
8,537.8,44,47
16,104.04,5,8
17,237.73,11,13
19,693.05,14,37
18,312.78,13,19
7,333.81,26,26
11,711.23,46,66
9,474.95,34,50
20,174.56,6,10
5,3.98,1,1
10,638.6,38,55
14,267.06,14,17
12,546.1,28,40
