Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3198.95,243,13.16,245,14.13,243,13.16,6.77
Table Service,3162.18,238,13.29,124,27.60,106,29.83,38.67
Total,6361.13,481,13.22,369,18.66,349,18.23,16.46
