Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,108,3184.15,47.89,3232.04,262.16
Drive Thru,220,2788.71,21.21,2809.92,229.7
Take Out,21,388.27,2.38,390.65,31.97
Total,349,6361.13,71.48,6432.61,523.83
