Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,8.0,21.62,0.0,0.0,21.62,1.78
Dining Room,663.0,3168.96,69.25,0.0,3238.21,261.44
Drive Thru,408.0,1263.59,25.8,0.0,1289.39,104.23
No Revenue Center,25.0,112.0,22.98,0.0,134.98,9.23
Total,1104.0,4566.17,118.03,0.0,4684.20,376.68
