Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,89,2821.71,90.29,2912.0,232.74
Drive Thru,112,1511.71,27.31,1539.02,124.68
Take Out,18,232.75,0.43,233.18,19.26
Total,219,4566.17,118.03,4684.20,376.68
