Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,39,973.71,5.19,978.9,80.21
Drive Thru,156,1772.65,4.91,1777.56,145.95
Take Out,42,505.43,0.0,505.43,41.59
Online Ordering - Takeout,1,10.48,0.0,10.48,0.87
Total,238,3262.27,10.10,3272.37,268.62
