Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2315.97,200,11.58,204,12.29,200,11.58,6.41
Table Service,946.3,72,13.14,40,25.61,38,24.90,42.18
Total,3262.27,272,11.99,244,14.47,238,13.71,12.12
