Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,78,800.67,4.91,0.0,805.58,65.93
Lunch,83,1542.51,5.19,0.0,1547.7,127.04
Dinner,22,417.3,0.0,0.0,417.3,34.32
No Service,55,501.79,0.0,0.0,501.79,41.33
Total,238,3262.27,10.10,0.0,3272.37,268.62
