Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,806.0,2751.24,10.0,0.0,2761.24,226.64
NA Beverage,192.0,467.05,0.82,0.0,467.87,38.48
Total,998.0,3218.29,10.82,0.0,3229.11,265.12
