Hour of day,Net sales,Total orders,Total guests
10,204.87,17,21
11,269.57,19,21
12,280.22,19,27
8,420.76,46,46
13,193.14,13,15
7,384.42,39,42
19,37.91,3,3
14,164.93,11,14
17,206.75,15,15
6,177.42,21,22
15,165.51,10,13
18,277.53,14,19
9,300.56,26,28
16,134.7,11,11
