Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,63,1984.95,32.11,2017.06,163.58
Drive Thru,111,1258.7,9.84,1268.54,103.96
Take Out,19,504.3,0.36,504.66,41.62
Total,193,3747.95,42.31,3790.26,309.16
