Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,2.0,8.58,0.0,0.0,8.58,0.71
Dining Room,544.0,2590.41,18.0,0.0,2608.41,213.56
Drive Thru,347.0,1088.92,9.84,0.0,1098.76,89.94
No Revenue Center,27.0,60.04,14.47,0.0,74.51,4.95
Total,920.0,3747.95,42.31,0.0,3790.26,309.16
