Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1825.71,136,13.42,136,14.53,136,13.42,10.92
Table Service,1922.24,134,14.35,68,30.60,57,33.72,38.60
Total,3747.95,270,13.88,204,19.89,193,19.42,19.10
