Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,91,3253.86,18.58,3272.44,268.58
Drive Thru,129,2309.42,18.68,2328.1,190.53
Take Out,40,632.74,34.3,667.04,52.2
Total,260,6196.02,71.56,6267.58,511.31
