Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,14.0,43.37,0.0,0.0,43.37,3.57
Dining Room,946.0,3986.09,52.88,0.0,4038.97,328.97
Drive Thru,639.0,2166.56,18.68,0.0,2185.24,178.77
Total,1599.0,6196.02,71.56,0.0,6267.58,511.31
