Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2949.13,170,17.35,172,18.56,170,17.35,11.40
Table Service,3246.89,230,14.12,92,38.21,90,36.08,44.74
Total,6196.02,400,15.49,264,25.41,260,23.83,22.94
