Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2396.41,199,12.04,199,13.03,196,12.23,7.05
Table Service,1231.18,104,11.84,64,20.82,55,22.39,35.69
Total,3627.59,303,11.97,263,14.93,251,14.45,13.33
