Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,809.0,3054.2,14.09,0.0,3068.29,251.51
NA Beverage,252.0,573.39,0.0,0.0,573.39,47.13
Total,1061.0,3627.59,14.09,0.0,3641.68,298.64
