Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1557.97,119,13.09,118,14.29,119,13.09,11.25
Table Service,1896.23,118,16.07,68,30.19,54,35.12,44.07
Total,3454.20,237,14.57,186,20.10,173,19.97,21.50
