Hour of day,Net sales,Total orders,Total guests
14,314.64,11,18
8,327.86,23,29
7,162.29,17,19
21,7.98,1,1
20,85.18,2,4
6,37.36,5,5
10,236.5,20,21
12,434.73,21,35
19,141.95,6,8
18,337.03,5,11
17,114.58,2,3
15,92.91,5,8
13,277.44,13,20
9,186.47,16,19
16,290.84,8,10
11,406.44,18,26
