Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,59,2031.21,39.67,2070.88,167.47
Drive Thru,99,1247.45,27.0,1274.45,102.88
Take Out,15,175.54,47.32,222.86,14.48
Total,173,3454.20,113.99,3568.19,284.83
