Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1477.0,5214.31,106.04,0.0,5320.35,429.64
Total,1477.0,5214.31,106.04,0.0,5320.35,429.64
