Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2403.85,204,11.78,204,12.75,204,11.78,11.43
Table Service,2810.46,215,13.07,112,27.16,95,29.58,32.04
Total,5214.31,419,12.44,316,17.86,299,17.44,17.98
