Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1108.0,4316.83,106.04,0.0,4422.87,355.88
NA Beverage,352.0,813.65,0.0,0.0,813.65,66.83
Liquor,10.0,55.9,0.0,0.0,55.9,4.62
Bottled Beer,7.0,27.93,0.0,0.0,27.93,2.31
Total,1477.0,5214.31,106.04,0.0,5320.35,429.64
